year,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Location 1,Premise,Total Incidents
2016,12/4/16,18:40:00,3NK,3400 GREENMOUNT AVE,ROBBERY - STREET,O,KNIFE,543,NORTHERN,Waverly,"(39.3300500000, -76.6094100000)",STREET,1
2016,12/4/16,18:40:00,3AK,3400 GREENMOUNT AVE,ROBBERY - STREET,O,KNIFE,543,NORTHERN,Waverly,"(39.3300500000, -76.6094100000)",STREET,1
2016,12/4/16,19:10:00,3AK,1700 WILLIAM ST,ROBBERY - STREET,I,KNIFE,942,SOUTHERN,Riverside,"(39.2702400000, -76.6100300000)",ROW/TOWNHOUSE-OCC,1
2016,12/4/16,19:20:00,3AK,1800 CLIFTON AVE,ROBBERY - STREET,O,KNIFE,731,WESTERN,Mondawmin,"(39.3120000000, -76.6470900000)",STREET,1
2016,12/4/16,19:21:00,3CF,2700 SISSON ST,ROBBERY - COMMERCIAL,O,FIREARM,511,NORTHERN,Remington,"(39.3188700000, -76.6247400000)",SUBWAY,1
2016,12/4/16,20:05:00,3D,0 S CALVERT ST,ROBBERY - COMMERCIAL,O,,111,CENTRAL,Downtown,"(39.2882000000, -76.6121300000)",SUBWAY,1
2016,12/4/16,20:22:00,3P,1800 WILHELM ST,ROBBERY - STREET,O,,934,SOUTHERN,Carrollton Ridge,"(39.2837700000, -76.6454700000)",STREET,1
2016,12/4/16,21:15:00,3AF,4800 LIBERTY HEIGHTS AVE,ROBBERY - STREET,O,FIREARM,622,NORTHWESTERN,Howard Park,"(39.3319400000, -76.6972900000)",BUS/AUTO,1
2016,12/4/16,23:00:00,3B,MONUMENT ST & N ROSE ST,ROBBERY - STREET,O,,323,EASTERN,McElderry Park,"(39.2988700000, -76.5815900000)",STREET,1
2016,12/4/16,23:00:00,3AF,1400 BONSAL ST,ROBBERY - STREET,O,FIREARM,233,SOUTHEASTERN,Medford,"(39.2776200000, -76.5446900000)",STREET,1
2016,12/4/16,23:15:00,3K,500 LUCIA AVE,ROBBERY - RESIDENCE,I,,833,SOUTHWESTERN,Yale Heights,"(39.2749700000, -76.6924200000)",ROW/TOWNHOUSE-OCC,1
2016,12/3/16,3:00:00,3B,5100 GWYNN OAK AVE,ROBBERY - STREET,I,,622,NORTHWESTERN,Howard Park,"(39.3302700000, -76.7019500000)",ROW/TOWNHOUSE-OCC,1
2016,12/3/16,3:50:00,3B,FAYETTE ST & N LIBERTY ST,ROBBERY - STREET,O,,111,CENTRAL,Downtown,"(39.2903600000, -76.6176900000)",STREET,1
2016,12/3/16,5:05:00,3B,500 E PATAPSCO AVE,ROBBERY - STREET,O,,913,SOUTHERN,Brooklyn,"(39.2366800000, -76.6034200000)",STREET,1
2016,12/3/16,5:37:00,3AK,AV & BRUNSWICK ST,ROBBERY - STREET,O,KNIFE,841,SOUTHWESTERN,Millhill,"(39.2780900000, -76.6587100000)",STREET,1
2016,12/3/16,8:03:00,3CF,2200 E MONUMENT ST,ROBBERY - COMMERCIAL,I,FIREARM,321,EASTERN,CARE,"(39.2986500000, -76.5862300000)",RETAIL/SMALL BUSINESS,1
2016,12/3/16,17:38:00,3D,1200 W PRATT ST,ROBBERY - COMMERCIAL,I,,932,SOUTHERN,Washington Village/Pigtown,"(39.2855800000, -76.6374100000)",SPECIALTY STORE,1
2016,12/3/16,17:50:00,3CF,1500 N WASHINGTON ST,ROBBERY - COMMERCIAL,I,FIREARM,331,EASTERN,Broadway East,"(39.3083700000, -76.5901500000)",LIQUOR STORE,1
2016,12/3/16,18:40:00,3B,200 N COLLINGTON AVE,ROBBERY - STREET,O,,321,EASTERN,CARE,"(39.2946400000, -76.5864400000)",STREET,1
2016,12/3/16,19:30:00,3CF,2200 WASHINGTON BLVD,ROBBERY - COMMERCIAL,I,FIREARM,831,SOUTHWESTERN,Morrell Park,"(39.2701000000, -76.6485000000)",RESTAURANT,1
2016,12/3/16,20:30:00,3AF,800 GLADE CT,ROBBERY - STREET,O,FIREARM,913,SOUTHERN,Brooklyn,"(39.2293400000, -76.6004500000)",STREET,1
2016,12/3/16,22:20:00,3AK,2100 W NORTH AVE,ROBBERY - STREET,O,KNIFE,731,WESTERN,Mondawmin,"(39.3097200000, -76.6515200000)",STREET,1
2016,12/2/16,17:40:00,3B,1900 POPLAR GROVE ST,ROBBERY - STREET,O,,811,SOUTHWESTERN,Walbrook,"(39.3095700000, -76.6658300000)",STREET,1
2016,12/2/16,18:25:00,3AK,200 E PRATT ST,ROBBERY - STREET,O,KNIFE,112,CENTRAL,Inner Harbor,"(39.2865500000, -76.6113400000)",STREET,1
2016,12/2/16,18:30:00,3AF,3800 BIDDISON LN,ROBBERY - STREET,O,FIREARM,426,NORTHEASTERN,Waltherson,"(39.3404000000, -76.5564500000)",STREET,1
2016,12/2/16,1:01:00,3AJF,1800 EUTAW PL,ROBBERY - CARJACKING,O,FIREARM,132,CENTRAL,Madison Park,"(39.3078200000, -76.6311500000)",STREET,1
2016,12/2/16,4:36:00,3GF,2000 FLEET ST,ROBBERY - COMMERCIAL,I,FIREARM,213,SOUTHEASTERN,Fells Point,"(39.2848300000, -76.5874100000)",OTHER - INSIDE,1
2016,12/2/16,4:36:00,3GF,2000 FLEET ST,ROBBERY - COMMERCIAL,I,FIREARM,213,SOUTHEASTERN,Fells Point,"(39.2848300000, -76.5874100000)",OTHER - INSIDE,1
2016,12/2/16,5:00:00,3GF,4900 HARFORD RD,ROBBERY - COMMERCIAL,I,FIREARM,426,NORTHEASTERN,Lauraville,"(39.3465700000, -76.5663400000)",CONVENIENCE STORE,1
2016,12/2/16,5:13:00,3GF,200 W COLD SPRING LN,ROBBERY - COMMERCIAL,I,FIREARM,541,NORTHERN,Evergreen,"(39.3450100000, -76.6271500000)",GROCERY/CONFECTION,1
2016,12/2/16,6:27:00,3GF,600 W 33RD ST,ROBBERY - COMMERCIAL,I,FIREARM,531,NORTHERN,Wyman Park,"(39.3271000000, -76.6273500000)",CONVENIENCE STORE,1
2016,12/2/16,8:20:00,3AF,1500 LAKESIDE AVE,ROBBERY - STREET,O,FIREARM,412,NORTHEASTERN,Ednor Gardens-Lakeside,"(39.3293400000, -76.5938000000)",STREET,1
2016,12/2/16,10:17:00,3BJ,0 PIERSIDE DR,ROBBERY - CARJACKING,I,,943,SOUTHERN,Inner Harbor,"(39.2776600000, -76.6054000000)",OTHER - INSIDE,1
2016,12/2/16,12:05:00,3AF,1800 N COLLINGTON AVE,ROBBERY - STREET,O,FIREARM,331,EASTERN,Broadway East,"(39.3111100000, -76.5874600000)",STREET,1
2016,12/2/16,14:54:00,3B,2400 BELAIR RD,ROBBERY - STREET,O,,434,NORTHEASTERN,Belair-Edison,"(39.3176600000, -76.5781900000)",STREET,1
2016,12/2/16,15:50:00,3B,5600 SEFTON AVE,ROBBERY - STREET,O,,425,NORTHEASTERN,Glenham-Belhar,"(39.3505300000, -76.5554600000)",STREET,1
2016,12/2/16,15:53:00,3P,100 N ROSE ST,ROBBERY - STREET,O,,222,SOUTHEASTERN,Patterson Park Neighborhood,"(39.2935500000, -76.5812800000)",STREET,1
2016,12/2/16,16:00:00,3AF,3000 MAYFIELD AVE,ROBBERY - STREET,O,FIREARM,432,NORTHEASTERN,Belair-Edison,"(39.3215200000, -76.5715500000)",ALLEY,1
2016,12/2/16,16:50:00,3B,3600 EASTERN AVE,ROBBERY - STREET,I,,233,SOUTHEASTERN,Brewers Hill,"(39.2865900000, -76.5670300000)",LIBRARY,1
2016,12/2/16,19:00:00,3AO,LOMBARD ST & S HIGHLAND AV,ROBBERY - STREET,O,OTHER,222,SOUTHEASTERN,Baltimore Highlands,"(39.2913300000, -76.5693400000)",STREET,1
2016,12/2/16,19:21:00,3AF,5800 REISTERSTOWN RD,ROBBERY - STREET,O,FIREARM,631,NORTHWESTERN,Reisterstown Station,"(39.3504300000, -76.6942100000)",STREET,1
2016,12/2/16,19:41:00,3CO,2300 PENNSYLVANIA AVE,ROBBERY - COMMERCIAL,I,OTHER,131,WESTERN,Druid Heights,"(39.3090200000, -76.6412100000)",OTHER - INSIDE,1
2016,12/2/16,20:26:00,3AK,100 S EATON ST,ROBBERY - STREET,O,KNIFE,223,SOUTHEASTERN,Baltimore Highlands,"(39.2914000000, -76.5656400000)",STREET,1
2016,12/2/16,20:26:00,3AK,100 S EATON ST,ROBBERY - STREET,O,KNIFE,223,SOUTHEASTERN,Baltimore Highlands,"(39.2914000000, -76.5656400000)",STREET,1
2016,12/2/16,20:26:00,3AK,100 S EATON ST,ROBBERY - STREET,O,KNIFE,223,SOUTHEASTERN,Baltimore Highlands,"(39.2914000000, -76.5656400000)",STREET,1
2016,12/2/16,21:30:00,3AF,5600 ELDERON AVE,ROBBERY - STREET,O,FIREARM,623,NORTHWESTERN,Grove Park,"(39.3419900000, -76.7020000000)",STREET,1
2016,12/2/16,23:00:00,3AF,3700 MONDAWMIN AVE,ROBBERY - STREET,O,FIREARM,641,NORTHWESTERN,Garwyn Oaks,"(39.3150700000, -76.6794000000)",STREET,1
2016,12/2/16,23:20:00,3AF,1100 COVINGTON ST,ROBBERY - STREET,O,FIREARM,943,SOUTHERN,Riverside,"(39.2771000000, -76.6070100000)",STREET,1
2016,12/1/16,10:15:00,3B,CHARLES ST & W SARATOGA ST,ROBBERY - STREET,O,,111,CENTRAL,Downtown,"(39.2923000000, -76.6153300000)",STREET,1
2016,12/1/16,10:30:00,3B,REDWOOD ST & S CHARLES ST,ROBBERY - STREET,O,,111,CENTRAL,Downtown,"(39.2888000000, -76.6150900000)",STREET,1
2016,12/1/16,11:30:00,3K,2300 DRUID HILL AVE,ROBBERY - RESIDENCE,I,,733,WESTERN,Penn North,"(39.3109700000, -76.6388800000)",ROW/TOWNHOUSE-OCC,1
2016,12/1/16,11:30:00,3K,2300 DRUID HILL AVE,ROBBERY - RESIDENCE,I,,733,WESTERN,Penn North,"(39.3109700000, -76.6388800000)",ROW/TOWNHOUSE-OCC,1
